full_path,size_bytes,extension,label,file_uuid
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kolongo_70058_N15_05_W02_39_village_03_2011_JH.JPG,2306525,jpg,decompressed,9d2a85f0_Fulfulde_Kolongo_70058_N15_05_W02_39_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KomboOgourou_Fulbe_70059_N14_15_W03_15_village_05_2011_BT_JH.JPG,2911240,jpg,decompressed,640e6fe8_Fulfulde_KomboOgourou_Fulbe_70059_N14_15_W03_15_village_05_2011_BT_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kondioly_70060_N14_35_W03_56_village_03_2012_MD_JH.JPG,2211415,jpg,decompressed,f01ef476_Fulfulde_Kondioly_70060_N14_35_W03_56_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KoundougouWourol_70064_N13_49_W03_26_village_05_2011_JH.JPG,3075773,jpg,decompressed,aea78bb2_Fulfulde_KoundougouWourol_70064_N13_49_W03_26_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Koursoutou_70065_N15_12_W02_49_village_03_2011_JH.JPG,3108695,jpg,decompressed,66c4b915_Fulfulde_Koursoutou_70065_N15_12_W02_49_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Madina_near_BanguelToupe_70067_N14_41_W03_37_village_04_2011_JH.JPG,3061671,jpg,decompressed,63869404_Fulfulde_Madina_near_BanguelToupe_70067_N14_41_W03_37_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Naye_Foulbe_70071_N14_26_W03_02_village_04_2011_JH.JPG,3623200,jpg,decompressed,9eec8f5e_Fulfulde_Naye_Foulbe_70071_N14_26_W03_02_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Nienagou_70076_N14_47_W03_55_village_04_2011_JH.JPG,3532460,jpg,decompressed,5f9679d5_Fulfulde_Nienagou_70076_N14_47_W03_55_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Nokara_70077_N15_10_W02_23_village_03_2011_JH.JPG,2032773,jpg,decompressed,5f58379c_Fulfulde_Nokara_70077_N15_10_W02_23_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Ogodengou_Fulbe_70079_05_2011_BT_JH.JPG,2845271,jpg,decompressed,1e12bee1_Fulfulde_Ogodengou_Fulbe_70079_05_2011_BT_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Ogui_70080_N15_03_W02_25_mtn_with_Ella_mtn_to_side_03_2011_JH.JPG,1794628,jpg,decompressed,646ee9d0_Fulfulde_Ogui_70080_N15_03_W02_25_mtn_with_Ella_mtn_to_side_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Ouama_aka_Wama_70081_N15_15_W01_42_near_Hombori_06_2011_JH.JPG,2512939,jpg,decompressed,4371211a_Fulfulde_Ouama_aka_Wama_70081_N15_15_W01_42_near_Hombori_06_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Oukolourou_70083_N14_56_W01_55_hamlet_03_2011_JH.JPG,1689175,jpg,decompressed,a259202a_Fulfulde_Oukolourou_70083_N14_56_W01_55_hamlet_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroBaaNgourdi_70085_N15_13_W02_43_village_03_2011_JH.JPG,2067810,jpg,decompressed,1eb9f917_Fulfulde_OuroBaaNgourdi_70085_N15_13_W02_43_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroDiouggal_70086_N15_13_W02_39_village_03_2011_JH.JPG,1833493,jpg,decompressed,2a946580_Fulfulde_OuroDiouggal_70086_N15_13_W02_39_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroNema_70087_N14_44_W03_58_village_04_2011_JH.JPG,3174854,jpg,decompressed,59f82559_Fulfulde_OuroNema_70087_N14_44_W03_58_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroNgerou_70088_N15_07_W02_10_village_seen_from_highway_03_2011_JH.JPG,3126449,jpg,decompressed,dd27f340_Fulfulde_OuroNgerou_70088_N15_07_W02_10_village_seen_from_highway_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroNgueou_70088_N14_48_W03_50_village_04_2011_JH.JPG,3067315,jpg,decompressed,2e434fd6_Fulfulde_OuroNgueou_70088_N14_48_W03_50_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroToroli_70089_N13_54_W03_10_village_05_2011_JH.JPG,3651202,jpg,decompressed,cba3513d_Fulfulde_OuroToroli_70089_N13_54_W03_10_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Papara_70091_N14_47_W03_54_village_04_2011_JH.JPG,3074254,jpg,decompressed,06b8653b_Fulfulde_Papara_70091_N14_47_W03_54_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Samaloye_70093_N14_36_W03_59_village__03_2012_MD_JH.JPG,3055657,jpg,decompressed,00de3fb9_Fulfulde_Samaloye_70093_N14_36_W03_59_village__03_2012_MD_JH.JPG
